artista,resumen,popularidad,reproducciones,similares
Nina Simone,"Eunice Kathleen Waymon (21 February 1933 – 21 April 2003), better known by her stage name Nina Simone, was an American singer, pianist, arranger, and civil rights activist widely associated with jazz music. Simone aspired to become a classical pianist while working in a broad range of styles including classical, jazz, blues, soul, folk, rhythm and blues, gospel, and pop.

Simone was born Eunice Kathleen Waymon on 21st February 1933 in Tryon, North Carolina, USA, one of eight children. <a href=""https://www.last.fm/music/Nina+Simone"">Read more on Last.fm</a>",2587613,61048146,"['Aretha Franklin', 'Billie Holiday', 'Etta James', 'Ella Fitzgerald', 'Sarah Vaughan']"
Chevelle,"Chevelle are an alternative metal band from Grayslake, IL. They formed in 1994 with the members of Sam Loeffler, Pete Loeffler (brothers) and Matt Scott. Matt was later replaced in 1996 by Joe Loeffler as bass player. On July 10, 2005 Joe was fired because of ""irreconcilable differences"". Geno Lenardo (Filter) filled in until August 2005, when Dean Bernardini (brother-in-law to the Loefflers) became the new bass player of Chevelle. 

 	Inspired by the lurching riffs of Helmet and the soft/loud vocal styling of Tool <a href=""https://www.last.fm/music/Chevelle"">Read more on Last.fm</a>",1430244,41038478,"['10 Years', 'Staind', 'Seether', 'Breaking Benjamin', 'Crossfade']"
Elis Regina,"Elis Regina Carvalho Costa (March 17, 1945, Porto Alegre, Rio Grande do Sul, Brazil – January 19, 1982, São Paulo, Brazil), better known as Elis Regina, was a Brazilian singer and one of the biggest names of MPB. Known for her vocal competence, musicianship and stage presence, she was acclaimed both in Brazil and internationally.

In the '60s, Elis was a leader and a standard-bearer in defense of Brazilian popular music, heavily contributing to the formation of the MPB label, with commercial and ideological characteristics at the same time. <a href=""https://www.last.fm/music/Elis+Regina"">Read more on Last.fm</a>",842671,20463391,"['Gal Costa', 'Antonio Carlos Jobim & Elis Regina', 'Nara Leão', 'Caetano Veloso', 'Maria Bethânia']"
Fata El Presidente," <a href=""https://www.last.fm/music/Fata+El+Presidente"">Read more on Last.fm</a>",246,639,"['Viviane Chidid', 'Aïda Samb', 'Pape Diouf', 'Pape Thiopet', 'Titi']"
Julie London,"Julie London (née Peck; September 26,1926  — October 18, 2000) was an American jazz and pop singer and actress. She was noted for her smoky, sensual voice and languid demeanor. She released 32 albums of pop and jazz standards during the 1950s and 1960s, with her signature song being the classic ""Cry Me a River,"" which she introduced in 1955.

London's 35-year acting career began in films in 1944 and included playing opposite Gary Cooper in Man of the West (1958) and Robert Mitchum in The Wonderful Country (1959). <a href=""https://www.last.fm/music/Julie+London"">Read more on Last.fm</a>",1087070,11683452,"['Peggy Lee', 'Doris Day', 'June Christy', 'Sarah Vaughan', 'Irene Kral']"
Marc Anthony,"Marco Antonio Muñiz (born September 16, 1964), better known by his stage name Marc Anthony.
 A New Yorker born and raised, the product of a music-loving Puerto Rican family, his parents named him Marco Antonio Muñíz in honor of the great Mexican balladeer of the same name. 
Born Marco Antonio Muñiz September 16, 1964 (age 52)
New York City, New York, U.S.
Nationality American Puerto Rican
Occupation Singer songwriter actor record producer television producer <a href=""https://www.last.fm/music/Marc+Anthony"">Read more on Last.fm</a>",684012,8274264,"['Gilberto Santa Rosa', 'Victor Manuelle', 'Jerry Rivera', 'Tito Nieves', 'Víctor Manuelle']"
Skank,"Skank is a pop/rock/reggae band in Brazil. The band started 1991, in Belo Horizonte, Minas Gerais.

The debut album, Skank (1993), was successful around the underground circuit. The second album, ""Calango"", came out in 1994 . “É Proibido Fumar”, “Te Ver”, “Pacato Cidadão”, “Jackie Teckila” and “Esmola” were the biggest hits.

In 1996, “Garota Nacional”, the single of ""O Samba Poconé"" gave Skank international success. The band travelled around the world, performing in Latin America, United States and Europe. <a href=""https://www.last.fm/music/Skank"">Read more on Last.fm</a>",537444,16740284,"['Jota Quest', 'Os Paralamas Do Sucesso', 'Capital Inicial', 'Frejat', 'Detonautas Roque Clube']"
José Feliciano,"José Montserrate Feliciano García (born September 10, 1945 in Lares, Puerto Rico) is a singer and guitarist, who has been successful in both Spanish and English music. A victim of congenital glaucoma, he was left permanently blind at birth. He is most known for his Christmas song ""Feliz Navidad"", as well as his covers of ""California Dreamin'"" and ""Light My Fire"". <a href=""https://www.last.fm/music/+noredirect/Jos%C3%A9+Feliciano"">Read more on Last.fm</a>",1242660,6798555,"['Band Aid', 'Burl Ives', 'Michael Bublé', 'Camilo Sesto', 'Julio Iglesias']"
JHT," <a href=""https://www.last.fm/music/JHT"">Read more on Last.fm</a>",1160,11663,"['Juan habitual', 'Cescru Enlace', 'Zehtyan', 'Gotas de Rap', 'flaco flow y Melanina']"
Kid Abelha,"Kid Abelha was a pop/rock band from Rio de Janeiro, Brazil, formed by Paula Toller (lead vocals), George Israel (sax, guitar and vocals) and Bruno Fortunato (acoustic and eletric guitar). The group has recorded 13 studio albums, 3 live albums and 2 live DVDs. They have composed many Brazilian pop-rock hits throughout their 30+ year career. They are regarded by the press and colleagues in the music business to be a real ""hit factory"".

History

The <a href=""https://www.last.fm/music/Kid+Abelha"">Read more on Last.fm</a>",368841,8746714,"['Kid Abelha E Os Abóboras Selvagens', 'Paula Toller', 'Lulu Santos', 'Leoni', 'Os Paralamas Do Sucesso']"
Jay Tee," <a href=""https://www.last.fm/music/Jay+Tee"">Read more on Last.fm</a>",2782,16096,"['Latino Velvet', 'Jay Tee & Baby Beesh', 'Sleepdank', 'Young Dru', 'Big OSO Loc']"
El Polaco," <a href=""https://www.last.fm/music/El+Polaco"">Read more on Last.fm</a>",35130,295940,"['Nestor En Bloque', 'Jambao', 'Agrupación Marilyn', 'Repiola', 'Damas Gratis']"
